# Channel,Subsystem,Area,Mirror,Distance,Direction,Sensor,Fs
L1:LSC-POPAIR_A_RF9_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_B_LF_OUT_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_B_RF18_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_B_RF18_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_B_RF90_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_B_RF90_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POP_A_LF_OUT_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POP_A_RF45_I_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POP_A_RF45_Q_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POP_A_RF9_I_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POP_A_RF9_Q_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-PRCL_IN1_DQ,LSC,DRMI,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-PRCL_OUT_DQ,LSC,DRMI,"ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,16384
L1:LSC-REFLAIR_A_LF_OUT_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFLAIR_A_RF45_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFLAIR_A_RF45_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFLAIR_A_RF9_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFLAIR_A_RF9_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFLAIR_B_LF_OUT_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFLAIR_B_RF135_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFLAIR_B_RF135_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFLAIR_B_RF27_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFLAIR_B_RF27_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFL_A_LF_OUT_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-REFL_A_RF45_I_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFL_A_RF45_Q_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFL_A_RF9_I_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFL_A_RF9_Q_ERR_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-REFL_SERVO_CTRL_OUT_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,,16384
L1:LSC-REFL_SERVO_ERR_OUT_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,,16384
L1:LSC-REFL_SERVO_SLOW_OUT_DQ,LSC,HAM1,"ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,2048
L1:LSC-SRCL_IN1_DQ,LSC,DRMI,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-SRCL_OUT_DQ,LSC,DRMI,"ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,16384
L1:LSC-XARM_IN1_DQ,LSC,X-ARM,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-XARM_OUT_DQ,LSC,X-ARM,"ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,2048
L1:LSC-YARM_IN1_DQ,LSC,Y-ARM,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-YARM_OUT_DQ,LSC,Y-ARM,"ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,2048
L1:ALS-C_TRX_A_LF_OUT_DQ,ALS,X-ARM,,,,PD,2048
L1:ALS-C_TRY_A_LF_OUT_DQ,ALS,Y-ARM,,,,PD,2048
L1:ASC-AS_A_DC_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,QPD-ANGULAR,2048
L1:ASC-AS_A_DC_SUM_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,,QPD-ANGULAR,2048
L1:ASC-AS_A_DC_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,QPD-ANGULAR,2048
L1:ASC-AS_A_RF36_I_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_A_RF36_I_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_A_RF36_Q_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_A_RF36_Q_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_A_RF45_I_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_A_RF45_I_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_B_DC_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,QPD-ANGULAR,2048
L1:ASC-AS_B_DC_SUM_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,,QPD-ANGULAR,2048
L1:ASC-AS_B_DC_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,QPD-ANGULAR,2048
L1:ASC-AS_B_RF36_I_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_B_RF36_I_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_B_RF36_Q_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_B_RF36_Q_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_B_RF45_I_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_B_RF45_I_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-AS_B_RF45_Q_PIT_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-AS_B_RF45_Q_YAW_OUT_DQ,ASC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-INP1_P_OUT_DQ,ASC,,"ITMX, ITMY, ETMX, ETMY",,PIT,,2048
L1:ASC-INP1_Y_OUT_DQ,ASC,,"ITMX, ITMY, ETMX, ETMY",,YAW,,2048
L1:ASC-MICH_P_OUT_DQ,ASC,DRMI,"ITMX, ITMY, ETMX, ETMY",,PIT,,2048
L1:ASC-MICH_Y_OUT_DQ,ASC,DRMI,"ITMX, ITMY, ETMX, ETMY",,YAW,,2048
L1:ASC-PRC1_P_OUT_DQ,ASC,,"ITMX, ITMY, ETMX, ETMY",,PIT,,2048
L1:ASC-PRC1_Y_OUT_DQ,ASC,,"ITMX, ITMY, ETMX, ETMY",,YAW,,2048
L1:ASC-REFL_A_DC_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,QPD,2048
L1:ASC-REFL_A_DC_SUM_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,,QPD,2048
L1:ASC-REFL_A_DC_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,QPD,2048
L1:ASC-REFL_A_RF45_I_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_A_RF45_I_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_A_RF45_Q_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_A_RF45_Q_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_A_RF9_I_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_A_RF9_I_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_A_RF9_Q_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_A_RF9_Q_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_B_DC_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,QPD,2048
L1:ASC-REFL_B_DC_SUM_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,,QPD,2048
L1:ASC-REFL_B_DC_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,QPD,2048
L1:ASC-REFL_B_RF45_I_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_B_RF45_I_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_B_RF45_Q_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_B_RF45_Q_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_B_RF9_I_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_B_RF9_I_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:ASC-REFL_B_RF9_Q_PIT_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,PIT,RF_LENGTH,2048
L1:ASC-REFL_B_RF9_Q_YAW_OUT_DQ,ASC,HAM2,"ITMX, ITMY, ETMX, ETMY",,YAW,RF_LENGTH,2048
L1:IMC-DOF_1_P_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,PIT,WFS,2048
L1:IMC-DOF_1_Y_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,YAW,WFS,2048
L1:IMC-DOF_2_P_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,PIT,WFS,2048
L1:IMC-DOF_2_Y_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,YAW,WFS,2048
L1:IMC-DOF_3_P_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,PIT,WFS,2048
L1:IMC-DOF_3_Y_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,YAW,WFS,2048
L1:IMC-DOF_4_P_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,PIT,WFS,2048
L1:IMC-DOF_4_Y_IN1_DQ,IMC,HAM2,"MC1, MC2, MC3",,YAW,WFS,2048
L1:IMC-IM4_TRANS_PIT_OUT_DQ,IMC,HAM2,IM4,,PIT,QPD,2048
L1:IMC-IM4_TRANS_SUM_IN1_DQ,IMC,HAM2,IM4,,,QPD,2048
L1:IMC-IM4_TRANS_SUM_OUT_DQ,IMC,HAM2,IM4,,,QPD,2048
L1:IMC-IM4_TRANS_YAW_OUT_DQ,IMC,HAM2,IM4,,YAW,QPD,2048
L1:IMC-ISS_QPD_PIT_OUT_DQ,IMC,HAM2,,,PIT,QPD,2048
L1:IMC-ISS_QPD_SUM_IN1_DQ,IMC,HAM2,,,,QPD,2048
L1:IMC-ISS_QPD_SUM_OUT_DQ,IMC,HAM2,,,,QPD,2048
L1:IMC-ISS_QPD_YAW_OUT_DQ,IMC,HAM2,,,YAW,QPD,2048
L1:IMC-MC1_PIT_OUT_DQ,IMC,HAM2,MC1,,PIT,FEEDBACK,2048
L1:IMC-MC1_YAW_OUT_DQ,IMC,HAM2,MC1,,YAW,FEEDBACK,2048
L1:IMC-MC2_PIT_OUT_DQ,IMC,HAM3,MC2,,PIT,FEEDBACK,2048
L1:IMC-MC2_TRANS_PIT_OUT_DQ,IMC,HAM3,MC2,,PIT,QPD-ANGULAR,2048
L1:IMC-MC2_TRANS_SUM_IN1_DQ,IMC,HAM3,MC2,,,LASER-POWER,2048
L1:IMC-MC2_TRANS_SUM_OUT_DQ,IMC,HAM3,MC2,,,LASER-POWER,2048
L1:IMC-MC2_TRANS_YAW_OUT_DQ,IMC,HAM3,MC2,,YAW,QPD-ANGULAR,2048
L1:IMC-MC2_YAW_OUT_DQ,IMC,HAM3,MC2,,YAW,FEEDBACK,2048
L1:IMC-MC3_PIT_OUT_DQ,IMC,HAM2,MC3,,PIT,FEEDBACK,2048
L1:IMC-MC3_YAW_OUT_DQ,IMC,HAM2,MC3,,YAW,FEEDBACK,2048
L1:IMC-PWR_IN_OUT_DQ,IMC,HAM2,,,,PD,2048
L1:IMC-PZT_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-PZT_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:IMC-WFS_A_DC_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-WFS_A_DC_SUM_OUT_DQ,IMC,HAM2,,,,PD,2048
L1:IMC-WFS_A_DC_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:IMC-WFS_A_I_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-WFS_A_I_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:IMC-WFS_A_Q_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-WFS_A_Q_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:IMC-WFS_B_DC_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-WFS_B_DC_SUM_OUT_DQ,IMC,HAM2,,,,PD,2048
L1:IMC-WFS_B_DC_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:IMC-WFS_B_I_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-WFS_B_I_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:IMC-WFS_B_Q_PIT_OUT_DQ,IMC,HAM2,,,PIT,PD,2048
L1:IMC-WFS_B_Q_YAW_OUT_DQ,IMC,HAM2,,,YAW,PD,2048
L1:SUS-OM1_M1_DAMP_L_IN1_DQ,SUS,HAM6,OM1,,LON,,256
L1:SUS-OM1_M1_DAMP_P_IN1_DQ,SUS,HAM6,OM1,,PIT,,256
L1:SUS-OM1_M1_DAMP_Y_IN1_DQ,SUS,HAM6,OM1,,YAW,,256
L1:SUS-OM1_M1_ISIWIT_L_DQ,SUS,HAM6,OM1,,LON,OSEM,1024
L1:SUS-OM1_M1_ISIWIT_P_DQ,SUS,HAM6,OM1,,PIT,OSEM,1024
L1:SUS-OM1_M1_ISIWIT_R_DQ,SUS,HAM6,OM1,,,OSEM,1024
L1:SUS-OM1_M1_ISIWIT_T_DQ,SUS,HAM6,OM1,,,OSEM,1024
L1:SUS-OM1_M1_ISIWIT_V_DQ,SUS,HAM6,OM1,,,OSEM,1024
L1:SUS-OM1_M1_ISIWIT_Y_DQ,SUS,HAM6,OM1,,YAW,OSEM,1024
L1:SUS-OM1_M1_LOCK_L_IN1_DQ,SUS,HAM6,OM1,,LON,FEEDBACK,256
L1:SUS-OM1_M1_LOCK_P_IN1_DQ,SUS,HAM6,OM1,,PIT,FEEDBACK,256
L1:SUS-OM1_M1_LOCK_Y_IN1_DQ,SUS,HAM6,OM1,,YAW,FEEDBACK,256
L1:SUS-OM1_M1_MASTER_OUT_LL_DQ,SUS,HAM6,OM1,,,,256
L1:SUS-OM1_M1_MASTER_OUT_LR_DQ,SUS,HAM6,OM1,,,,256
L1:SUS-OM1_M1_MASTER_OUT_UL_DQ,SUS,HAM6,OM1,,,,256
L1:SUS-OM1_M1_MASTER_OUT_UR_DQ,SUS,HAM6,OM1,,,,256
L1:SUS-OM2_M1_DAMP_L_IN1_DQ,SUS,HAM6,OM2,,LON,,256
L1:SUS-OM2_M1_DAMP_P_IN1_DQ,SUS,HAM6,OM2,,PIT,,256
L1:SUS-OM2_M1_DAMP_Y_IN1_DQ,SUS,HAM6,OM2,,YAW,,256
L1:SUS-OM2_M1_ISIWIT_L_DQ,SUS,HAM6,OM2,,LON,OSEM,1024
L1:SUS-OM2_M1_ISIWIT_P_DQ,SUS,HAM6,OM2,,PIT,OSEM,1024
L1:SUS-OM2_M1_ISIWIT_R_DQ,SUS,HAM6,OM2,,,OSEM,1024
L1:SUS-OM2_M1_ISIWIT_T_DQ,SUS,HAM6,OM2,,,OSEM,1024
L1:SUS-OM2_M1_ISIWIT_V_DQ,SUS,HAM6,OM2,,,OSEM,1024
L1:SUS-OM2_M1_ISIWIT_Y_DQ,SUS,HAM6,OM2,,YAW,OSEM,1024
L1:SUS-OM2_M1_LOCK_L_IN1_DQ,SUS,HAM6,OM2,,LON,FEEDBACK,256
L1:SUS-OM2_M1_LOCK_P_IN1_DQ,SUS,HAM6,OM2,,PIT,FEEDBACK,256
L1:SUS-OM2_M1_LOCK_Y_IN1_DQ,SUS,HAM6,OM2,,YAW,FEEDBACK,256
L1:SUS-OM2_M1_MASTER_OUT_LL_DQ,SUS,HAM6,OM2,,,,256
L1:SUS-OM2_M1_MASTER_OUT_LR_DQ,SUS,HAM6,OM2,,,,256
L1:SUS-OM2_M1_MASTER_OUT_UL_DQ,SUS,HAM6,OM2,,,,256
L1:SUS-OM2_M1_MASTER_OUT_UR_DQ,SUS,HAM6,OM2,,,,256
L1:SUS-OM3_M1_DAMP_L_IN1_DQ,SUS,HAM6,OM3,,LON,,256
L1:SUS-OM3_M1_DAMP_P_IN1_DQ,SUS,HAM6,OM3,,PIT,,256
L1:SUS-OM3_M1_DAMP_Y_IN1_DQ,SUS,HAM6,OM3,,YAW,,256
L1:SUS-OM3_M1_ISIWIT_L_DQ,SUS,HAM6,OM3,,LON,OSEM,1024
L1:SUS-OM3_M1_ISIWIT_P_DQ,SUS,HAM6,OM3,,PIT,OSEM,1024
L1:SUS-OM3_M1_ISIWIT_R_DQ,SUS,HAM6,OM3,,,OSEM,1024
L1:SUS-OM3_M1_ISIWIT_T_DQ,SUS,HAM6,OM3,,,OSEM,1024
L1:SUS-OM3_M1_ISIWIT_V_DQ,SUS,HAM6,OM3,,,OSEM,1024
L1:SUS-OM3_M1_ISIWIT_Y_DQ,SUS,HAM6,OM3,,YAW,OSEM,1024
L1:SUS-OM3_M1_LOCK_L_IN1_DQ,SUS,HAM6,OM3,,LON,FEEDBACK,256
L1:SUS-OM3_M1_LOCK_P_IN1_DQ,SUS,HAM6,OM3,,PIT,FEEDBACK,256
L1:SUS-OM3_M1_LOCK_Y_IN1_DQ,SUS,HAM6,OM3,,YAW,FEEDBACK,256
L1:SUS-OM3_M1_MASTER_OUT_LL_DQ,SUS,HAM6,OM3,,,,256
L1:SUS-OM3_M1_MASTER_OUT_LR_DQ,SUS,HAM6,OM3,,,,256
L1:SUS-OM3_M1_MASTER_OUT_UL_DQ,SUS,HAM6,OM3,,,,256
L1:SUS-OM3_M1_MASTER_OUT_UR_DQ,SUS,HAM6,OM3,,,,256
L1:SUS-RM1_M1_DAMP_L_IN1_DQ,SUS,HAM2,RM1,,LON,,256
L1:SUS-RM1_M1_DAMP_P_IN1_DQ,SUS,HAM2,RM1,,PIT,,256
L1:SUS-RM1_M1_DAMP_Y_IN1_DQ,SUS,HAM2,RM1,,YAW,,256
L1:SUS-RM1_M1_ISIWIT_L_DQ,SUS,HAM2,RM1,,LON,OSEM,1024
L1:SUS-RM1_M1_ISIWIT_P_DQ,SUS,HAM2,RM1,,PIT,OSEM,1024
L1:SUS-RM1_M1_ISIWIT_R_DQ,SUS,HAM2,RM1,,,OSEM,1024
L1:SUS-RM1_M1_ISIWIT_T_DQ,SUS,HAM2,RM1,,,OSEM,1024
L1:SUS-RM1_M1_ISIWIT_V_DQ,SUS,HAM2,RM1,,,OSEM,1024
L1:SUS-RM1_M1_ISIWIT_Y_DQ,SUS,HAM2,RM1,,YAW,OSEM,1024
L1:SUS-RM1_M1_LOCK_L_IN1_DQ,SUS,HAM2,RM1,,LON,FEEDBACK,256
L1:SUS-RM1_M1_LOCK_P_IN1_DQ,SUS,HAM2,RM1,,PIT,FEEDBACK,256
L1:SUS-RM1_M1_LOCK_Y_IN1_DQ,SUS,HAM2,RM1,,YAW,FEEDBACK,256
L1:SUS-RM1_M1_MASTER_OUT_LL_DQ,SUS,HAM2,RM1,,,,256
L1:SUS-RM1_M1_MASTER_OUT_LR_DQ,SUS,HAM2,RM1,,,,256
L1:SUS-RM1_M1_MASTER_OUT_UL_DQ,SUS,HAM2,RM1,,,,256
L1:SUS-RM1_M1_MASTER_OUT_UR_DQ,SUS,HAM2,RM1,,,,256
L1:SUS-RM2_M1_DAMP_L_IN1_DQ,SUS,HAM2,RM2,,LON,,256
L1:SUS-RM2_M1_DAMP_P_IN1_DQ,SUS,HAM2,RM2,,PIT,,256
L1:SUS-RM2_M1_DAMP_Y_IN1_DQ,SUS,HAM2,RM2,,YAW,,256
L1:SUS-RM2_M1_ISIWIT_L_DQ,SUS,HAM2,RM2,,LON,OSEM,1024
L1:SUS-RM2_M1_ISIWIT_P_DQ,SUS,HAM2,RM2,,PIT,OSEM,1024
